device,hum_01,hum_02,hygro_01,lux_01,published_at,temp_01,temp_02
SYS01_1,"[99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3265, 3204, 3213, 3209, 3166, 3174, 3238, 3173, 3218, 3221]","[1.09719, 1.07582, 1.08798, 1.08188, 1.10028, 1.07884, 1.08798, 1.08798, 1.09104, 1.11272]",2023-04-26T15:45:03.235Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3170, 3237, 3235, 3135, 3196, 3241, 3205, 3183, 3201, 3187]","[1.08798, 1.08493, 1.07582, 1.10028, 1.10028, 1.07884, 1.09411, 1.09719, 1.09104, 1.10648]",2023-04-26T16:00:03.264Z,"[19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3176, 3211, 3181, 3211, 3222, 3181, 3177, 3149, 3142, 3197]","[1.08493, 1.08188, 1.08493, 1.10028, 1.08493, 1.09104, 1.08493, 1.11585, 1.09719, 1.10028]",2023-04-26T16:15:03.295Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[102.3, 102.3, 102.3, 102.3, 102.3, 102.3, 102.3, 102.3, 102.3, 102.3]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3223, 3285, 3245, 3186, 3151, 3172, 3140, 3114, 3246, 3181]","[1.09719, 1.10648, 1.09104, 1.08798, 1.08798, 1.07582, 1.08493, 1.08188, 1.09411, 1.10648]",2023-04-26T16:30:04.336Z,"[-3276.7, -3276.7, -3276.7, -3276.7, -3276.7, -3276.7, -3276.7, -3276.7, -3276.7, -3276.7]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3207, 3219, 3142, 3238, 3211, 3222, 3212, 3184, 3158, 3204]","[1.08188, 1.10028, 1.09104, 1.08493, 1.09719, 1.08798, 1.08493, 1.09411, 1.09104, 1.09104]",2023-04-26T16:45:02.998Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3141, 3236, 3219, 3212, 3193, 3150, 3320, 3132, 3132, 3236]","[1.10028, 1.10028, 1.10338, 1.09719, 1.07884, 1.06678, 1.09719, 1.10028, 1.08798, 1.08493]",2023-04-26T17:00:03.674Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3284, 3269, 3207, 3168, 3233, 3217, 3189, 3158, 3158, 3156]","[1.10338, 1.08798, 1.09104, 1.10338, 1.10338, 1.08798, 1.09104, 1.09411, 1.08493, 1.09104]",2023-04-26T17:15:03.324Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS02_1,"[99.7, 99.7, 99.7, 99.7, 99.7, 99.7, 99.7, 99.7, 99.7, 99.7]","[83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[3202, 3122, 3196, 3159, 3162, 3136, 3154, 3114, 3165, 3094]","[5.5387, 5.5387, 5.52316, 5.47678, 5.44608, 5.44608, 5.37008, 5.10514, 5.25067, 5.07652]",2023-04-26T05:00:04.893Z,"[43.1, 43.1, 43.1, 43.1, 43.1, 43.1, 43.1, 43.1, 43.1, 43.1]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
SYS02_1,"[99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2]","[89, 89, 89, 89, 89, 89, 89, 89, 89, 89]","[3180, 3230, 3238, 3177, 3200, 3142, 3146, 3180, 3266, 3235]","[4.83966, 4.99163, 4.93582, 5.01977, 5.04807, 5.06227, 5.19197, 5.19197, 5.37008, 5.26545]",2023-04-26T05:15:03.559Z,"[22.2, 22.2, 22.2, 22.2, 22.2, 22.2, 22.2, 22.2, 22.2, 22.2]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
SYS02_1,"[99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1]","[96, 96, 96, 96, 96, 96, 96, 96, 96, 96]","[3153, 3214, 3136, 3184, 3223, 3190, 3144, 3161, 3137, 3146]","[5.5387, 5.38519, 5.28027, 5.37008, 5.38519, 5.10514, 4.86694, 5.06227, 4.97762, 5.0339]",2023-04-26T05:30:05.216Z,"[21.8, 21.8, 21.8, 21.8, 21.8, 21.8, 21.8, 21.8, 21.8, 21.8]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
SYS02_1,"[99.5, 99.5, 99.5, 99.5, 99.5, 99.5, 99.5, 99.5, 99.5, 99.5]","[97, 97, 97, 97, 97, 97, 97, 97, 97, 97]","[3298, 3242, 3150, 3175, 3214, 3211, 3190, 3169, 3199, 3156]","[5.66466, 5.37008, 5.40035, 5.40035, 5.38519, 4.25267, 5.04807, 5.32498, 5.20658, 5.10514]",2023-04-26T05:45:03.066Z,"[21.3, 21.3, 21.3, 21.3, 21.3, 21.3, 21.3, 21.3, 21.3, 21.3]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
SYS02_1,"[99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2, 99.2]","[97, 97, 97, 97, 97, 97, 97, 97, 97, 97]","[3183, 3204, 3159, 3160, 3175, 3210, 3169, 3151, 3246, 3126]","[5.25067, 5.23593, 5.20658, 5.04807, 5.10514, 5.04807, 4.90815, 4.99163, 4.82607, 4.79902]",2023-04-26T06:00:03.736Z,"[20.9, 20.9, 20.9, 20.9, 20.9, 20.9, 20.9, 20.9, 20.9, 20.9]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
SYS02_1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 97, 97, 97, 97, 97, 97, 97, 97, 97]","[3166, 3152, 3172, 3103, 3157, 3185, 3180, 3112, 3111, 3171]","[5.58561, 5.47678, 5.40035, 5.37008, 5.33997, 5.20658, 5.28027, 5.16286, 5.11951, 5.07652]",2023-04-26T06:15:06.936Z,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
SYS02_1,"[99.9, 99.9, 99.9, 99.9, 99.9, 99.9, 99.9, 99.9, 99.9, 99.9]","[97, 97, 97, 97, 97, 97, 97, 97, 97, 97]","[3171, 3158, 3127, 3250, 3202, 3177, 3130, 3158, 3187, 3168]","[5.33997, 5.1774, 5.10514, 5.28027, 5.09081, 4.97762, 4.92197, 4.82607, 4.96365, 4.65291]",2023-04-26T06:30:03.593Z,"[20.5, 20.5, 20.5, 20.5, 20.5, 20.5, 20.5, 20.5, 20.5, 20.5]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
